Year,Emirati,Non-Emirati,Total Population,Residential - Number of Customer,Residential - Quantity Consumed,Commercial - Number of Customer,Commercial - Quantity Consumed,Industrial - Number of Customer,Industrial - Quantity Consumed,Other - Number of Customer,Other - Quantity Consumed,Total Number of Customer,Total Quantity Consumed,Total System Requirement ( Desalination Water Demand ),Total System Requirement  (Groundwater),Total System Requirement,Quantity Produced,Desalination Stations Capacity,Wells Capacity,Total Capacity,Private Villa - Number - Additions and amendments,Private Villa - Number - New building,Private Villa - Area (Square foot) - Additions and amendments,Private Villa - Area (Square foot) - New building,Investment Villa - Number - Additions and amendments,Investment Villa - Number - New building,Investment Villa - Area (Square foot) - Additions and amendments,Investment Villa - Area (Square foot) - New building,Industrial Buildings - Number - Additions and amendments,Industrial Buildings - Number - New building,Industrial Buildings - Area (Square foot) - Additions and amendments,Industrial Buildings - Area (Square foot) - New building,Public Buildings - Number - Additions and amendments,Public Buildings - Number - New building,Public Buildings - Area (Square foot) - Additions and amendments,Public Buildings - Area (Square foot) - New building,Multi-Storey Buildings - Number - Additions and amendments,Multi-Storey Buildings - Number - New building,Multi-Storey Buildings - Area (Square foot) - Additions and amendments,Multi-Storey Buildings - Area (Square foot) - New building,Floor Area Ratio Buildings - Number - Additions and amendments,Floor Area Ratio Buildings - Number - New building,Floor Area Ratio Buildings - Area (Square foot) - Additions and amendments,Floor Area Ratio Buildings - Area (Square foot) - New building,Total Number - Additions and amendments,Total Number - New Building,Total Permits,Total Area - Additions and amendments,Total Area - New building,Total Area
2009,165736,1605242,1770978,368420,50680,95933,20836,1223,3077,4136,9020,469712,83613,90823,,90823,,120450,11680,132130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,173635,1731839,1905474,404750,50030,98081,20749,1223,2618,3139,9358,507193,82755,94728,,94728,,120450,11680,132130,7774,2504,2275932,14557622,362,66,166755.8,3457484.4,640,53,1532313.3,4699625.5,930,240,1710967.2,2934840.8,1550,104,-241843,6394502,554,45,1661374.9,13777830.2,11810,3012,14822,7105500.2,45821904.9,52927405.1
2011,182535,1849895,2032430,426540,46844,102617,22064,1222,2708,2506,9520,532885,81136,93356,,93356,,146000,11680,157680,6594,2726,1805459.3,14481214.5,306,810,164676.4,7379147.8,729,60,2676008.4,3166660.7,863,171,2000750.9,4803229.2,1198,102,2985897.3,7523370.5,402,22,401068.5,8935598.8,10092,3891,13983,10033860.8,46289221.5,56323082.3
2012,191895,1975945,2167840,446372,49112,104444,23931,1227,2622,2519,9281,554562,84946,96380,,96380,,172020,11712,183732,7100,2550,1729736.2,12768777.9,447,348,138942.1,5678578.8,814,67,1070336.9,4062406.8,1001,129,2124813.9,2498097,1312,117,-2299126.4,10153159.7,445,46,613385,11649491,11119,3257,14376,3378087.7,46810511.2,50188598.9
2013,201735,2110540,2312275,468119,51443,108445,24663,1297,2572,2817,9394,580678,88072,100114,,100114,,171550,11680,183230,6602,1327,1614309.4,8887623.5,698,256,874973.6,3874371.6,1218,124,2288669.2,6510858.8,1155,149,2290967,8286231.4,1528,176,5455703.9,15988826.8,604,62,2907242.6,11017046.4,11805,2094,13899,15431865.7,54564958.5,69996824.2
2014,212000,2254335,2466335,488102,55471,112781,26462,1364,2849,2931,9940,605178,94722,106184,,106184,,171550,11680,183230,7126,1825,1446997.1,11531573.4,996,931,4836482.6,13474827.6,2147,181,3080890.03,8892426.9,1959,170,1897311.2,6067338.5,3026,247,2138896.14,17528520,1233,127,9909586.2,32497798.1,16487,3481,19968,23310163.27,89992484.5,113302647.8
2015,222875,2407780,2630655,505448,61296,116914,27638,1389,3163,2790,10204,626541,102301,113786,,113786,111810.751,171550,11680,183230,7313,1363,1703469,17984211.26,2913,895,8695008.18,21449208.62,2636,181,3020818.18,11145094.73,2338,222,3793640.4,9069281.6,3830,356,3244280.93,32708454.29,2035,179,6206617.81,40964687.91,21065,3196,24261,26663834.5,133320938.4,159984772.9
2016,233430,2572495,2805925,539359,64020,122888,28020,1447,3302,2736,10100,666430,105442,116863,,116863,115044.31,172020,11712,183732,7746,2713,1816509.6,13653316.68,6009,938,10211075.29,16178895.79,2932,126,2586870.68,7396397.86,2748,202,3808665.73,7795751.37,4452,308,2795544.17,32834455.11,2564,151,10109687.27,57849292.49,26451,4438,30889,31328352.74,135708109.3,167036462
2017,245200,2747670,2992870,573517,67378,127558,29942,1506,3585,2795,8939,705376,109844,120810,,120810,116936.052,171550,11680,183230,7958,1416,2018869.19,9732639.39,5084,2043,2925930.54,15695743.23,2743,131,4139079.54,5953897.29,2986,255,3152462.07,10412730.22,5187,349,2824108.59,47465784.13,3350,237,6826252.52,106273868.6,27308,4431,31739,21886702.45,195534662.9,217421365.3
2018,254600,2937675,3192275,614595,71165,131646,30525,1541,3972,2814,8332,750596,113994,120880,464,121344,120631.548,171550,11680,183230,8541,1558,1942405.47,9881170.24,2796,311,269697.68,4076731.13,2556,107,2167155.72,3423109.62,3100,167,5235975.38,7699471.17,5873,208,1099025.08,19741341.85,4321,217,10289963.82,75955896.95,27187,2568,29755,21004223.15,120777721,141781944.1
