Year,Residential - Number of Customer,Residential - Quantity Consumed,Commercial - Number of Customer,Commercial - Quantity Consumed,Industrial - Number of Customer,Industrial - Quantity Consumed,Other - Number of Customer,Other - Quantity Consumed,Total Number of Customer,Total Quantity Consumed,Total System Requirement ( Desalination Water Demand ),Total System Requirement  (Groundwater),Total System Requirement
2008,313647,48046,75943,20172,1140,3366,2208,8813,392938,80397,,,
2009,368420,50680,95933,20836,1223,3077,4136,9020,469712,83613,90823,,90823
2010,404750,50030,98081,20749,1223,2618,3139,9358,507193,82755,94728,,94728
2011,426540,46844,102617,22064,1222,2708,2506,9520,532885,81136,93356,,93356
2012,446372,49112,104444,23931,1227,2622,2519,9281,554562,84946,96380,,96380
2013,468119,51443,108445,24663,1297,2572,2817,9394,580678,88072,100114,,100114
2014,488102,55471,112781,26462,1364,2849,2931,9940,605178,94722,106184,,106184
2015,505448,61296,116914,27638,1389,3163,2790,10204,626541,102301,113786,,113786
2016,539359,64020,122888,28020,1447,3302,2736,10100,666430,105442,116863,,116863
2017,573517,67378,127558,29942,1506,3585,2795,8939,705376,109844,120810,,120810
2018,614595,71165,131646,30525,1541,3972,2814,8332,750596,113994,120880,464,121344
2019,675785,72125,136328,31254,1600,3701,2867,8306,816580,115386,126121,477,126598
2020,741015,75883,138957,28027,1509,2955,2923,8232,884404,115097,125685,466,126151
2021,813303,75636,142216,31000,1543,2974,2970,8213,960032,117823,128606,559,129165
2022,840001,79600,150921,35534,1640,3115,2916,8493,995478,126742,136977,585,137562
2023,888713,83593,154946,37682,1671,3375,3583,8258,1048913,132908,144133,416,144549
2024,937068,87561,160714,39510,1695,3702,3768,8147,1103245,138920,151475,386,151861
